zip_name,run_id,sensor_id,field_path,sample_value,guessed_format,alignment_note
Training Data 1.zip,0166,1,receivedAt,2024-02-16 09:53:40,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 1.zip,0166,1,payload.timestamp,2024-02-16T14:52:45+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 1.zip,0166,2,receivedAt,2024-02-16 09:53:40,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 1.zip,0166,2,payload.timestamp,2024-02-16T14:55:51+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 1.zip,0166,3,receivedAt,2024-02-16 09:53:40,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 1.zip,0166,3,payload.timestamp,2024-02-14T00:23:16+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 1.zip,0166,4,receivedAt,2024-02-16 09:53:40,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 1.zip,0166,4,payload.timestamp,2024-02-16T14:55:51+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 2.zip,0324,1,receivedAt,2024-02-19 19:27:31,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 2.zip,0324,1,payload.timestamp,2024-02-20T00:32:33+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 2.zip,0324,2,receivedAt,2024-02-19 19:27:31,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 2.zip,0324,2,payload.timestamp,2024-02-20T00:32:33+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 2.zip,0324,3,receivedAt,2024-02-19 19:27:32,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 2.zip,0324,3,payload.timestamp,2024-02-14T00:23:16+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 2.zip,0324,4,receivedAt,2024-02-19 19:27:31,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 2.zip,0324,4,payload.timestamp,2024-02-20T00:32:33+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 3.zip,0089,1,receivedAt,2024-02-27 13:21:02,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 3.zip,0089,1,payload.timestamp,2024-02-27T18:32:30+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 3.zip,0089,2,receivedAt,2024-02-27 13:21:02,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 3.zip,0089,2,payload.timestamp,2024-02-27T18:32:30+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 3.zip,0089,3,receivedAt,2024-02-27 13:21:02,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 3.zip,0089,3,payload.timestamp,2024-02-27T18:32:30+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
Training Data 3.zip,0089,4,receivedAt,2024-02-27 13:21:02,date string,top-level MQTT receipt time — primary alignment candidate
Training Data 3.zip,0089,4,payload.timestamp,2024-02-27T18:32:30+00:00,ISO-8601 string (timezone-aware),payload timestamp — compare with receivedAt for latency
